id;platform;category;caption;hashtag;url;text_for_tfidf;likes;views;comments;engagement_rate;is_popular;shares;saves
pPTMxejWh_s;youtube;masakan;;;https://www.youtube.com/watch?v=pPTMxejWh_s;;4601;574944;51;0.81;0;;
mMF8WBTzI_c;youtube;masakan;;;https://www.youtube.com/watch?v=mMF8WBTzI_c;;46662;1208278;101;3.87;1;;
HxOxOBHtUk8;youtube;masakan;;;https://www.youtube.com/watch?v=HxOxOBHtUk8;;11019;897509;150;1.24;0;;
MwBr99t9KME;youtube;masakan;;;https://www.youtube.com/watch?v=MwBr99t9KME;;85075;4674440;435;1.83;1;;
dMBTkA-p1nM;youtube;masakan;;;https://www.youtube.com/watch?v=dMBTkA-p1nM;;79614;2857850;240;2.79;1;;
r8mEt0beCx0;youtube;masakan;;;https://www.youtube.com/watch?v=r8mEt0beCx0;;67261;5748425;588;1.18;0;;
4-igaXIBgoM;youtube;masakan;;;https://www.youtube.com/watch?v=4-igaXIBgoM;;113047;1922741;272;5.89;1;;
LYRvp1LRGNE;youtube;masakan;;;https://www.youtube.com/watch?v=LYRvp1LRGNE;;104243;8489251;446;1.23;0;;
hmCZDutQZFk;youtube;masakan;;;https://www.youtube.com/watch?v=hmCZDutQZFk;;13166;1113140;67;1.19;0;;
ud4pGO9ibVw;youtube;masakan;;;https://www.youtube.com/watch?v=ud4pGO9ibVw;;25786;1372543;59;1.88;1;;
Fhr4DTVROLE;youtube;masakan;;;https://www.youtube.com/watch?v=Fhr4DTVROLE;;44955;1893722;111;2.38;1;;
PMJqAez9KkU;youtube;masakan;#resepmasakan #fluffykasih #7resep;resepmasakan, fluffykasih, 7resep;https://www.youtube.com/watch?v=PMJqAez9KkU;resep masakan fluffy kasih resep resep masakan fluffy kasih resep;498;38628;12;1.32;0;;
sI7c6bPLsUU;youtube;masakan;Ini nih resep krengsengan rempelo ati khas jawa timuran, yang bingung besok mau masak apa bisa nih dijadiin referensi...;;https://www.youtube.com/watch?v=sI7c6bPLsUU;nih resep kreng seng rem pelo ati khas jaw timur bingung besok masak nih referensi;3230;478639;135;0.7;0;;
