id;platform;category;caption;hashtag;url;text_for_tfidf;like;views;comments;engagement_rate;is_popular;shares;saves
1;Tiktok;Belajar IT;Mau kuliah IT belajar ini dulu #kuliahit #programmer #coding #longervideos;kuliahit,programmer,coding,longervideos;https://www.tiktok.com/@kevinaxellino/video/7469351896914955528;kuliah ajar ulu kuliah programmer coding longer video kuliah programmer coding longer video;45000;713900;488;9.77;0;3138;21119
2;Tiktok;Belajar IT;Mau belajar IT secara mandiri ? Ini dia step2nya.. @academybinar  #kelastekno;kelastekno;https://www.tiktok.com/@mychaelgoo/video/7063688531675221274;ajar sec ara mandiri step academy binar kelas kelas;326;3325;5;11.31;0;5;40
3;Tiktok;Belajar IT;Belajar Itu Penting #Assyarif #Kutipan ##Motivasi #Tiktok #Inspirasi;assyarif,kutipan,motivasi,tiktok,inspirasi;https://www.tiktok.com/@assyarif25/video/7556532548596141319;ajar ass yar kutip motivasi tik tok inspirasi ass yar kutip motivasi tik tok inspirasi;4288;105900;28;6.12;0;1321;844
4;Tiktok;Belajar IT;"Nyesel banget baru tau sekarang, tapi aku akan lebih nyesel sih kalo tau nya nanti. 

Note : kecuali ada beberapa ilmu yg harus bener2 dihafal secara detail contohnya al-qur'an. 

Sumber : buku Learning How to Learn

#belajar #carabelajar #edukasi";belajar,carabelajar,edukasi;https://www.tiktok.com/@mitrasrr/video/7467075120805186822;nye sel banget nye sel sih note kecuali ilmu bene hafal sec ara detail contoh sumber buku learning how learn ajar ajar edukasi ajar ajar edukasi;152;2762;7;6.95;0;4;29
5;Tiktok;Belajar IT;Cara Kerja Tiktok Affiliate, Pemula Wajib Tahu Dulu! #tiktokaffiliate #affiliatetiktok  #belajartiktokaffiliate #belajartiktok #fyp;tiktokaffiliate,affiliatetiktok,belajartiktokaffiliate,belajartiktok,fyp;https://www.tiktok.com/@bahascuanid/video/7223788788105907482;kerja tik tok affiliate emu wajib ulu tik tok affiliate affiliate tik tok ajar tik tok affiliate ajar tik tok tik tok affiliate affiliate tik tok ajar tik tok affiliate ajar tik tok;271500;4200000;6350;9.67;0;32900;95517
6;Tiktok;Belajar IT;"Belajar bahasa Inggris dasar untuk pemula. Grammar Penggunaan Verb 1, Verb 2, Verb 3 & Verb ing. 
#grammar #bahasainggris #bahasainggrispemula #belajarbahasainggris #tenses #bahasainggrismudah";grammar,bahasainggris,bahasainggrispemula,belajarbahasainggris,tenses,bahasainggrismudah;https://www.tiktok.com/@kampung.inggris.p/video/7327152769494764806;ajar bahasa inggris dasar emu grammar pen verb verb verb verb ing grammar bahasa inggris bahasa inggris emu ajar bahasa inggris tense bahasa inggris mudah grammar bahasa inggris bahasa inggris emu ajar bahasa inggris tense bahasa inggris mudah;108300;1600000;1074;10.02;0;6677;44216
7;Tiktok;Belajar IT;Replying to @chiweega ngespill rekomendasi sumber belajar data science & machine learning nih! Bisa buat pemula atau yang udah punya background IT juga. Yuk belajar data science bareng bareng! Link sumbernya aku taro di reply yaa #fyp #studytok #studywithme #datascience #belajarbareng #ngoding;fyp,studytok,studywithme,datascience,belajarbareng,ngoding;https://www.tiktok.com/@appuruchizu/video/7263451143538281734;reply ing chi wee spill rekomendasi sumber ajar data science machine learning nih emu background yuk ajar data science bareng bareng link sumber taro reply study tok study with data science ajar bareng coding study tok study with data science ajar bareng coding;12500;162300;88;15.66;1;833;11995
8;Tiktok;Belajar IT;Selain Bahasa Inggris, coba belajar bahasa ini biar makin cuan 2025!! ❤️#belajarbahasa #belajaronline #tipsbahasainggris #belajarditiktok;belajarbahasa,belajaronline,tipsbahasainggris,belajarditiktok;https://www.tiktok.com/@growithmaya/video/7448531130334170374;bahasa inggris coba ajar bahasa biar cua ajar bahasa ajar line tips bahasa inggris ajar dit tok ajar bahasa ajar line tips bahasa inggris ajar dit tok;18800;126700;144;22.05;1;1637;7360
9;Tiktok;Belajar IT;#belajarbahasainggris #tiktokpintar #kampunginggrisparekediri #berbagiilmu #belajarsamasama #tiktok #boredinthehousechallenge #fyp #sundaybest #fypシ;belajarbahasainggris,tiktokpintar,kampunginggrisparekediri,berbagiilmu,belajarsamasama,tiktok,boredinthehousechallenge,fyp,sundaybest,fypシ;https://www.tiktok.com/@kampunginggrism/video/6923715806735895810;ajar bahasa inggris tik tok pintar kampung inggris pare kedi ber ilmu ajar samas ama tik tok bore dint house challenge sun day best ajar bahasa inggris tik tok pintar kampung inggris pare kedi ber ilmu ajar samas ama tik tok bore dint house challenge sun day best;233100;2000000;521;13.84;1;2559;40647
10;Tiktok;Belajar IT;Belajar Bahasa Inggris Dengan Pengucapan Yang Benar #bahasainggrismudah #pronunciation #listeningpractice #bahasainggris #satukontentiaphari;bahasainggrismudah,pronunciation,listeningpractice,bahasainggris,satukontentiaphari;https://www.tiktok.com/@everyday.anya/video/7528356026781863173;ajar bahasa inggris pen bahasa inggris mudah pronunciation listening practice bahasa inggris konten bahasa inggris mudah pronunciation listening practice bahasa inggris konten;33300;1100000;235;4.36;0;6738;7651
