id;platform;category;caption;hashtag;url;text_for_tfidf;likes;views;comments;engagement_rate;is_popular;shares;saves
250;Tiktok;Masakan;"Kripik Tempe tipis begini tuh nggak pernah gagal bikin ketagihan.
Kriuknya dapet, gurihnya pas, dan aromanya bikin pengen nyomot terus.
Rahasianya? Aku pakai Tepung Beras dan Tepung Tapioka dari @Rose Brand teksturnya halus, bersih, dan renyahnya keluar maksimal.
Simple, tapi hasilnya langsung naik kelas.
Cocok buat cemilan, stok lauk, sampai ide jualan di rumah! 
Bahan :
- Tempe 4 papan
- Tepung Beras ROSE BRAND 500 gram
- Tepung Tapioka ROSE BRAND 15 sdm
- Daun jeruk 20 lembar
- Telur 1 butir
- Ketumbar 1 sdm
- Bawang putih 5 siung
- Kencur 1 ruas
- Garam 1,5 sdm
- MSG A Satu ROSE BRAND 1 sdm
- Minyak Goreng ROSE BRAND Secukupnya 
- Air 600 ml

#ResepPraktisROSEBRAND #TempeKeripik #KeripikTempe #CamilanRenyah #CemilanGurih #IdeJualanRumahan #MasakanIndonesia #JajananRumahan #HomemadeSnack #ResepMasakan";reseppraktisrosebrand, tempekeripik, keripiktempe, camilanrenyah, cemilangurih, idejualanrumahan, masakanindonesia, jajananrumahan, homemadesnack, resepmasakan;https://www.tiktok.com/@ibnuganjar74/video/7592473862546328853;kripik tempe tipis gagal keta han kriuk dap gurih pas aroma pen gen yom rahasia pakai tepung beras tepung tapioka rose brand tekstur halus bersih renyah maksimal simple hasil langsung kelas cocok cemilan stok lauk ide jual rumah bahan tempe papan tepung beras rose brand gram tepung tapioka rose brand sendok makan daun jeruk lembar telur butir ketumbar sendok makan bawang putih siung kencur ruas garam sendok makan msg rose brand sendok makan minyak goreng rose brand air mililiter resep praktis rose brand tempek pik keripik tempe camil renyah cemilan gurih ide jual rumah masakan indonesia jajan rumah homemade snack resep masakan resep praktis rose brand tempek pik keripik tempe camil renyah cemilan gurih ide jual rumah masakan indonesia jajan rumah homemade snack resep masakan;5230;238800;108;2.93;0;499;1166
251;Tiktok;Masakan;"Buncis Telur Belacan
-
Bahan : 
Bumbu Halus:
10 pcs cabai merah keriting
1 pcs cabai rawit merah
10 siung bawang merah
1 sdm ebi
4 siung bawang putih

200 gr buncis
Sedikit garam

1 sdm ikan teri
1/2 buah tomat
1 sdt terasi
2 sdt kaldu jamur
1/2 sdt merica bubuk
1/2 sdt garam
1/2 sdt gula pasir
1 butir telur
-
#resepsimple #reseptiktok #resepmasakan #masakansimple #resepprumahan #idemasaksimple";resepsimple, reseptiktok, resepmasakan, masakansimple, resepprumahan, idemasaksimple;https://www.tiktok.com/@adekoerniawan_s/video/7592558160733326612;buncis telur belacan bahan bumbu halus cabai merah keriting cabai rawit merah siung bawang merah sendok makan ebi siung bawang putih gram buncis garam sendok makan ikan teri buah tomat sendok teh terasi sendok teh kaldu jamur sendok teh merica bubuk sendok teh garam sendok teh gula pasir butir telur resepsi resep tiktok resep masakan masakan simple resep rumah idem asak simple resepsi resep tiktok resep masakan masakan simple resep rumah idem asak simple;597;17000;7;6.1;0;108;325
252;Tiktok;Masakan;"Bikiin cilok versi satset ala @vina_kitch !! Aku ijin recook dan modif dikit yaa Wenak loh gesss.. gak full aci jadi tekstur nya nagih bangett Walupun masih diet friendly, makannya tetep harus di taker yess!

CILOK AYAM TAHU 

Bahan - Bahan : 
- 4 sdm T. Terigu
- 200 gr T. Tapioka 
- 3 bh b. Putih ( parut ) 
- 2 sdt kaldu bubuk
- 1 sdt garam
- 1 sdt lada bubuk
- 2 lbr daun bawang
- 250 gr ayam giling
- 400 - 450 ml air

#idemasak #masakanrumahan #masakapahariini #resepsimpel #cilok";idemasak, masakanrumahan, masakapahariini, resepsimpel, cilok;https://www.tiktok.com/@machelwie_/video/7592563148910103839;bik cilok versi cepat ala vina kit jin recook dikit wen loh full aci tekstur nagih banget lup diet friendly makan tete taker yes cilok ayam bahan bahan sendok makan terigu gram tapioka putih parut sendok teh kaldu bubuk sendok teh garam sendok teh lada bubuk daun bawang gram ayam giling mililiter air idem asak masakan rumah masak resepsi pel cilok ide masak masakan rumah masak resepsi pel cilok;5607;138800;20;7.95;1;1489;3919
253;Tiktok;Masakan;"Spicy Beef Pizza ✨
(Guna roti je)

Hi, minum petang apa harini? Haa rasa lama pulak tak up resepi kan. Haha. Jom buat spicy beef pizza. Guna roti je. Ni pun sebab nak habiskan stok roti

Bahan-bahan:
- 250g-300g daging kisar
- 2 ulas bawang putih
- 1/2 biji bawang holland
- Sos Hot Sesame @Fundokinyakin 
- Lada sulah
- Seasoning
- Daun bawang
- Roti
- Sos bolognese/ tomato puree
- Mozzarella cheese
- Button mushroom (optional)
- Parsley / oregano

Bakar guna Air Fryer, suhu 180° 5-7minit.

Selamat mencuba!";;https://www.tiktok.com/@ummisyahirah__/video/7592540045291048210;spicy beef pizza roti minum petang harini resep hah spicy beef pizza roti nak habis stok roti bahan bahan daging kisar ulas bawang putih biji bawang holla hot sesame fund oki nyak lada sulah seasoning daun bawang roti bolo nese tomato puree zar ell cheese button mushroom optional parsley ore gan bakar air fryer suhu mini selamat men cub;616;11800;10;8.58;1;95;292
254;Tiktok;Masakan;"Masak gerih pesenane simbok
#resepmasakan #masakanrumahan";resepmasakan, masakanrumahan;https://www.tiktok.com/@tutorialngliwet/video/7592535979475340564;masak gerih pese nane simbok resep masakan masakan rumah resep masakan masakan rumah;5250;320600;136;1.99;0;320;677
255;Tiktok;Masakan;"Cimol Bojot
Bahan adonan cimol :
500gr tepung aci singkong
5 sdm terigu
1 siung bawang putih (haluskan)
1/2 sdm garam
1/2 sdm kaldu ayam
400ml air mendidih (wajib)

Bahan Chili Oil
2 siung bawang putih 
4 lembar daun jeruk 
3 sdm boncabe
3 sdm bubuk cabe
3 sdm bubuk atom asin
3 sdm bubuk atom balado
1/2 sdm kaldu ayam
2 sdt gula pasir
100 ml minyak goreng
#suasanapedesaan 
#masakansunda 
#cimolbojot 
#creatorsearchinsights";suasanapedesaan, masakansunda, cimolbojot, creatorsearchinsights;https://www.tiktok.com/@teteh_amelian/video/7592192042965585170;mol bojo bahan adon mol gram tepung aci singkong sendok makan terigu siung bawang putih halus sendok makan garam sendok makan kaldu ayam mililiter air mend wajib bahan chili oil siung bawang putih lembar daun jeruk sendok makan bon cabe sendok makan bubuk cabe sendok makan bubuk atom asin sendok makan bubuk atom balad sendok makan kaldu ayam sendok teh gula pasir mililiter minyak goreng suasana pedes masakan sun mol bojo creator search insight suasana pedes masakan sun mol bojo creator search insight;9922;272300;178;4.89;0;733;2474
256;Tiktok;Masakan;"Cobain bikin bakso tanpa tepung tanpa gilingan tanpa chopper

Bahannya kurleb seperti ini :
1. 300gr dada ayam
2. 1 butir putih telur
3. 1sdm garam, 1sdt merica, 1sdt MSG
4. bawang putih goreng";;https://www.tiktok.com/@gundaicooks/video/7592204724535905543;coba bakso tepung giling chopper bahan kur gram dada ayam butir putih telur sendok makan garam sendok teh merica sendok teh msg bawang putih goreng;243700;7900000;616;3.48;0;8016;22886
257;Tiktok;Masakan;Wadah stainless link bio no.37 yaaa. Resep chicken katsu enak!! Super juicy, gurih meresappp sampai ke dalam ayamnya praktis dan satset bisa buat stok frozen food, tinggal goreng aja deh #chickenkatsu #reseptiktok #resepsimple #promomakan1111 #resepmasakan;chickenkatsu, reseptiktok, resepsimple, promomakan1111, resepmasakan;https://www.tiktok.com/@khairunnisaadlina/video/7570948885183532309;wadah stainless link resep chicken kat enak super juicy gurih meres ayam praktis cepat stok frozen food tinggal goreng deh chicken kat resep tiktok resepsi pro makan resep masakan chicken kat resep tiktok resepsi pro makan resep masakan;117800;4900000;1532;5.49;0;29600;120016
258;Tiktok;Masakan;Yang ga bisa masak, coba buat resep ati ampela kecap pedas ini, pasti langsung jago masak, bikin suami nambah 3 kali dong huhuhu #resepmasakan #atiampela #resepsimple;resepmasakan, atiampela, resepsimple;https://www.tiktok.com/@diahh.dps/video/7328645207015165190;masak coba resep ati ampela kecap pedas langsung jago masak suami nam bah kali huh uhu resep masakan ati ampela resepsi resep masakan ati ampela resepsi;606900;24800000;6703;3.83;0;53800;281424
259;Tiktok;Masakan;"✨도시락이나 간단한 한 끼로 좋은 스팸마요주먹밥✨
아는 맛인데 아는 맛이 더 무서운거 아시죠...
단짠단짠 와중에 마요네즈가 탁 치고 올라오는 그 맛!!!
누구나 따라할 수 있는 초간단 레시피니까 꼭 따라해보세요

[재료]
밥 1공기 (약 200g)
스팸 150g
계란 2
참기름
조미김

[양념]
간장 1
설탕 1/2
마요네즈 1

[만드는 법]
1. 스팸을 작게 깍둑썰기 해주세요.
( tip 너무 크게 자르면 주먹밥이 잘 안뭉쳐져요! )
2. 계란물을 만들어주세요.
3. 팬에 기름 살짝 두르고 중불에서 스팸을 구워주세요.
4. 스팸이 노릇해지면 한 쪽으로 밀어두고 계란물 넣어 스크램블 만들어주세요.
5. 볼에 밥, 스팸, 계란, 김, 참기름 넣고 위에 적힌대로 양념해주세요.
( 부족한 간은 맛소금으로 간해주세요 )
6. 동글동글 주먹밥 모양으로 만들면 끝!

맛있는데 간단하기까지!
도시락 메뉴로도, 간단한 한 끼로도 최고에요

맛있게 드세요

#스팸마요주먹밥 #스팸마요 #주먹밥 #스팸주먹밥 #스팸계란주먹밥 #레시피 #쉬운요리 #집밥 #요리 #도시락메뉴 #도시락 #아이반찬 #간단요리";간단요리;https://www.tiktok.com/@ddalsekki_bab/video/7591758722771225873;tip;14000;836800;103;3.4;0;6223;8085
