id;platform;category;caption;hashtag;url;text_for_tfidf;likes;views;comments;engagement_rate;is_popular;shares;saves
PWaQaVs-JOA;Youtube;Belajar IT;"5 Tips belajar IT tanpa sekolah atau kuliah IT (otodidak) dari dea afrizal.

Transfer DONASI: https://saweria.co/deaafrizal
Join this channel to get access to perks:
https://www.youtube.com/channel/UCU7YluxOYon-yofPxfGHVog/join

#programming #tips #coding

Istagram: https://www.instagram.com/dea.afrizal/

=================
💌 Email (for business) 💌
dealabs@icloud.com
==================

🔻🔻🔻   SUBSCRIBE   🔻🔻🔻 
               For More Update
🔺🔺🔺LONCENGNYA 🔺🔺🔺";programming, tips, coding;https://www.youtube.com/watch?v=PWaQaVs-JOA;tips ajar sekolah kuliah otodidak friz transfer donasi sawer friz join this channel get access perk you tube channel ucu lux yon vog join programming tips coding ist gram stag ram friz email for business deal cloud subscribe for more update lonceng programming tips coding;0;101772;239;0.23;0;;
YJvDsdCI3EY;Youtube;Belajar IT;"Susah tapi apa coba coders?😆😆 

#anakIT #mahasiswaIT #jurusanIT #teknikinformatika #sisteminformasi #ilmukomputer #programmer #codinglife";anakIT, mahasiswaIT, jurusanIT, teknikinformatika, sisteminformasi, ilmukomputer, programmer, codinglife;https://www.youtube.com/watch?v=YJvDsdCI3EY;susah coba coder anakit mahasiswait jurusanit teknikinformatika sistem informasi ilmu komputer programmer coding life anakit mahasiswait jurusanit teknikinformatika sistem informasi ilmu komputer programmer coding life;0;208563;120;0.06;0;;
5RNofOkD7lU;Youtube;Belajar IT;"Jika saya belajar coding lagi dari 0 di tahun 2026, beginilah cara saya belajar coding dari awal - tanpa membuang waktu bertahun-tahun.

Di video ini, saya akan membagikan 6 langkah praktis yang akan saya lakukan untuk belajar coding lebih cepat, efektif, dan fokus pada hal-hal yang benar-benar penting.

Video ini cocok untuk:
- Pemula yang mau belajar coding.
- Programmer yang merasa stuck dan ingin memperbaiki cara belajar.
- Siapapun yang ingin menghemat waktu dan energi dalam belajar coding.

Traktir saya kopi ☕☕☕→ https://trakteer.id/codermedia

PS: Jika Anda merasa video ini bermanfaat, mohon subcribe, like, dan share agar bisa lebih bermanfaat bagi banyak orang.

#webdeveloper #codingtutorial #belajarcoding #programming";webdeveloper, codingtutorial, belajarcoding, programming;https://www.youtube.com/watch?v=5RNofOkD7lU;ajar coding ajar coding mem buang ber video mem langkah praktis laku ajar coding cepat efektif fokus video cocok emu ajar coding programmer stuck memper ajar meng hemat energi ajar coding traktir kopi tra teer coder media video berma mohon sub crib like share berma orang web developer coding tutorial belajarcoding programming web developer coding tutorial belajarcoding programming;5789;114348;176;5.22;1;;
EwuqifCvo3I;Youtube;Belajar IT;"Pakar Memori Prof Roddy kasih tahu cara belajar apapun 10X lebih efektif yang dirangkum dari buku 'Make It Stick'.
Gabung Member: https://www.youtube.com/channel/UCVcjHcNcU0oHkuTvvs2cOdQ/join

---

Henry L. Roediger III atau yang lebih akrab disapa “Roddy” adalah seorang pakar memori yang sudah meneliti cara belajar apapun 10X lebih efektif selama 40 tahun.

Di tahun 2014 Prof Roddy menggandeng rekannya Mark McDaniel dan penulis Peter Brown untuk nulis buku berjudul “Make It Stick: The Science of Successful Learning”. Ketiganya membagikan berdasarkan hasil riset sejak tahun 1970.

Kalau selama ini kamu sudah merasa belajar tekun tapi hasilnya tetep ga maksimal. Itu karena belajar bukan cuma soal kerja keras, tapi soal memilih teknik yang tepat.

---

Timestamps:
00:00 Intro
01:33 Teknik 1
03:42 Teknik 2
06:20 Teknik 3
08:43 Teknik 4
11:24 Penutup

---

Sources:
Buku: Make It Stick: The Science of Successful Learning

---

Credits:
Script: Anndy Tanuri
Pengisi Suara: Irfan Hafizd Fathur Rahman
Music: Epidemic Sound

Alat:
Mic: Soundtech 2.1 USB Condenser Microphone
Mouse: Rexus Cliff 2
Keyboard: Logitech Signature Slim Solar+ Keyboard

---

Traktir buat beli buku: https://sociabuzz.com/layarkertas

#layarkertas #rekomendasibuku #buku #psikologi #gramedia #carabelajar #carabelajarcepat #cara #belajar #apapun #10x #efektif #psikolog #kognitif #henryroediger #bukubekas #rangkuman #summary #booksummary #bahasaindonesia";layarkertas, rekomendasibuku, buku, psikologi, gramedia, carabelajar, carabelajarcepat, cara, belajar, apapun, 10x, efektif, psikolog, kognitif, henryroediger, bukubekas, rangkuman, summary, booksummary, bahasaindonesia;https://www.youtube.com/watch?v=EwuqifCvo3I;pakar memori prof rodd kasih ajar efektif rangkum buku make stick gabung member you tube channel cod join henry roed ger akrab dis rodd orang pakar memori men ajar efektif selam prof rodd mengga den rekan mark pen uli peter brown nul buku ber judul make stick the science successful learning keti juragan mem ber dasar hasil riset selam ajar tekun hasil tete maksimal ajar kerja keras mem ili teknik times tamp intro teknik teknik teknik teknik pen utu source buku make stick the science successful learning credit script ann tanur pen isi suara fan hafiz fat rahman music epidemic sound alat sound tech condenser microphone mouse rex cliff keyboard log signature slim solar keyboard traktir beli buku soc abuzz layar kertas layar kertas rekomendasi buku buku psikologi grame ajar ajar cepat ajar efektif psikolog kognitif henry roed ger buku bekas rangkum summary book summary bahasa indonesia layar kertas rekomendasi buku buku psikologi grame ajar ajar cepat ajar efektif psikolog kognitif henry roed ger buku bekas rangkum summary book summary bahasa indonesia;19111;379951;391;5.13;1;;
k2NvlxqRvaI;Youtube;Belajar IT;Urutan Belajar Coding Darimana?;;https://www.youtube.com/watch?v=k2NvlxqRvaI;urut ajar coding;20601;350670;82;5.9;1;;
Aqa_TS3nFmk;Youtube;Belajar IT;"Belajar Coding dari HP? Bisa kok

Berbagi tips, edukasi, teknologi, dan Ai
Support: naufalhal

 #belajarcoding #coding #python #pemograman #html #javascript #css #jasawebsite #buatwebsite #bikinwebsitemurah #juraganwebsite";belajarcoding, coding, python, pemograman, html, javascript, css, jasawebsite, buatwebsite, bikinwebsitemurah, juraganwebsite;https://www.youtube.com/watch?v=Aqa_TS3nFmk;ajar coding ber tips edukasi teknologi support belajarcoding coding python grama html javascript css jasa web site web site web site murah juragan web site belajarcoding coding python grama html javascript css jasa web site web site web site murah juragan web site;11239;359208;93;3.15;0;;
JKh2J5tkMlA;Youtube;Belajar IT;#coding #tipscoding #tips #turorial #turorialcoding #programmer tips coding untuk pemula #javascript #python #programmer;coding, tipscoding, tips, turorial, turorialcoding, programmer, javascript, python, programmer;https://www.youtube.com/watch?v=JKh2J5tkMlA;coding tips coding tips tur tur alco ding programmer tips coding emu javascript python programmer coding tips coding tips tur tur alco ding programmer javascript python programmer;10489;181917;34;5.78;1;;
K92aiFUmkwY;Youtube;Belajar IT;"Belajar Ngoding Dasar Untuk Pemula.

Pada vidio ini teman-teman akan belajar tentang dasar menggunakan bahasa program untuk membuat suatu aplikasi bagi pemula.

Jika ada yang teman-teman kurang memahami yang ada di vidio ini silahkan berikan pertanyaan teman-teman dikolom komentar yah....

Silahkan gabung di grup telegram Coding Otodidak, kita sharing tentang tentang coding

https://t.me/+e5WSxXSPX_AzNjM1

download XAMPP : https://www.apachefriends.org/download.html
download Visual Studi Code : https://code.visualstudio.com/Download";;https://www.youtube.com/watch?v=K92aiFUmkwY;ajar coding dasar emu teman teman ajar dasar meng bahasa program mem aplikasi emu teman teman mem aha silah berik pert any teman teman dik komentar yah silah gabung grup telegram coding otodidak sha ring coding down load apache friend down load html down load visual studi code code visual studio down load;20699;734358;1402;3.01;0;;
LooycZiMn6s;Youtube;Belajar IT;"Buat yang kepengen jadi programmer apalagi yang bener-bener awam dengan yang namanya programming karena memang bahasa pemrograman itu banyak banget, ditambah lagi adanya keresahan dari kalian yang pengen belajar coding tanpa harus sekolah di tahun 2022 ini bisa banget.

tonton aja ya cuy tips dari gue supaya bisa memilih roadmap programming sesuai pengalaman gue 🔥

00:00 intro-starterkit
02:40 starter-1
07:20 starter-2
09:35 starter-3
10:25 the-end

Join this channel to get access to perks:
https://www.youtube.com/channel/UCU7YluxOYon-yofPxfGHVog/join

#programming #coding #teknologi
🚀 Daily on Tiktok @dea.afrizal / https://www.tiktok.com/@dea.afrizal 🚀

=================
💌 Email (for business) 💌
dea.afrizal@icloud.com
==================

👇Youtube gue yang lainnya 👇

✨Braptech Racing Motor (hobi gue merawat motor tua) ✨
https://www.youtube.com/c/braptechracing

🏍 Teman1Roda (hobi gue broadcasting untuk hiburan channel motor) 🏍
https://www.youtube.com/channel/UCke_Wk20Op1GSbBJ4quh3ew

👩‍💻 Dea Afrizal Channel (real life) 👩‍💻
https://www.youtube.com/c/deaafrizal

🔻🔻🔻   SUBSCRIBE   🔻🔻🔻 
               For More Update
🔺🔺🔺LONCENGNYA 🔺🔺🔺";programming, coding, teknologi;https://www.youtube.com/watch?v=LooycZiMn6s;kepeng programmer bene bene awam nama programming bahasa rog rama banget dita mbah adan kere sahan pen gen ajar coding sekolah banget tonton aja tips mem ili road map programming sesuai pen gala man intro starter kit starter starter starter the end join this channel get access perk you tube channel ucu lux yon vog join programming coding teknologi daily tik tok friz tik tok friz email for business friz cloud you tube bra tech racing motor hobi rawat motor tua you tube bra tech racing teman roda hobi broadcast ing hibur channel motor you tube channel friz channel real life you tube friz subscribe for more update lonceng programming coding teknologi;38376;1022653;1108;3.86;0;;
G8vdp9FzAeQ;Youtube;Belajar IT;;;https://www.youtube.com/watch?v=G8vdp9FzAeQ;;0;131614;108;0.08;0;;
